Project Name,Item ARK,Parent ARK,Object Type,File Name,Item Sequence,Subject,Type.typeOfResource,Rights.copyrightStatus,Type.genre,Name.subject,Coverage.geographic,Relation.isPartOf,Publisher.publisherName,Rights.countryCreation,Rights.rightsHolderContact,Name.photographer,Relation.hasVersion,Rights.permission,Name.repository,Name.architect,Date.normalized,Alternate Identifier.local,Title,Description.note,Date.creation,Description.latitude,Description.longitude,Format.extent,Format.medium,Format.dimensions,Description.caption,Description.fundingNote,Alternate Identifier.url,Description.abstract,thumbnailImageName,masterImageName,"Bucketeer State","Import Status"
Los Angeles Daily News Negatives,ark:/13030/hb000003n9,ark:/21198/zz00294nz8,Work,src/test/resources/images/test.tif,,"Mexican Americans $z California $z Los Angeles|~|Mexican American youth|~|Zoot Suit Riots, Los Angeles, Calif., 1943|~|Detention of persons--California--Los Angeles|~|Jails|~|Legal|~|Culture",still image,copyrighted,news photographs,,Los Angeles (Calif.),"Los Angeles Daily News Negatives. Department of Special Collections, Charles E. Young Research Library, University of California at Los Angeles.",Los Angeles Daily News,US,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,Y,"University of California, Los Angeles. Library. Department of Special Collections",,1937/1947,uclamss_1387_b60_28789-3,Mexican American youths detained for questioning,"Mexican American youths in ""zoot suits"" are detained for questioning in a Los Angeles jail following a brawl.",ca. 1942,,,,,,,,,,clusc_1_1_00010432a.jpg,clusc_1_1_00010432a.tif,,
Los Angeles Daily News Negatives,ark:/13030/hb009n998t,ark:/21198/zz00294nz8,Work,src/test/resources/images/test.tif,,"Mexican Americans $z California $z Los Angeles|~|Hall of Justice (Los Angeles, Calif.)|~|Sleepy Lagoon Trial, Los Angeles, 1942-1943|~|Events|~|Legal",still image,copyrighted,news photographs,"Telles, Robert, 1924-1967",Los Angeles (Calif.),"Los Angeles Daily News Negatives. Department of Special Collections, Charles E. Young Research Library, University of California at Los Angeles.",Los Angeles Daily News,US,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,Y,,,1944-10,uclamss_1387_b72_32252-4,Telles family at the Sleepy Lagoon murder case acquittal,"Defendant Robert Telles, age 19, recieves kisses from family members Betty Telles and Josie Telles following his acquittal.|~|After the murder and assault convictions of 17 Mexican American youths in the Sleepy Lagoon murder case, the Sleepy Lagoon Defense Committee advocated for the defendants until the 9th Circuit Court of Appeals overturned the convictions as a miscarriage of justice.",Oct 1944,,,,,,,,,,clusc_1_1_00010390a.jpg,clusc_1_1_00010390a.tif,failed,
Los Angeles Daily News Negatives,ark:/13030/hb038nb0bm,ark:/21198/zz00294nz8,Work,src/test/resources/images/test.tif,,"Mexican Americans $z California $z Los Angeles|~|Sleepy Lagoon Trial, Los Angeles, 1942-1943|~|Crime|~|Events|~|Legal|~|Media",still image,copyrighted,news photographs,United States. Court of Appeals (9th Circuit),Los Angeles (Calif.),"Los Angeles Daily News Negatives. Department of Special Collections, Charles E. Young Research Library, University of California at Los Angeles.",Los Angeles Daily News,US,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,Y,,,1944-10,uclamss_1387_b72_32252-1,Sleepy Lagoon murder case acquittal,"Defendants in the Sleepy Lagoon murder trial are reunited with family and friends in the Los Angeles Hall of Justice following their acquittal.|~|After the murder and assault convictions of 17 Mexican American youths in the Sleepy Lagoon murder case, the Sleepy Lagoon Defense Committee advocated for the defendants until the 9th Circuit Court of Appeals overturned the convictions as a miscarriage of justice.",Oct 1944,,,,,,,,,,clusc_1_1_00010234a.jpg,clusc_1_1_00010234a.tif,,
Los Angeles Daily News Negatives,ark:/13030/hb0489n655,ark:/21198/zz00294nz8,Work,src/test/resources/images/test.tif,,Mexican American women $z California $z Los Angeles|~|Female gang members--California--Los Angeles|~|Crime|~|Culture,still image,copyrighted,news photographs,"Barrios, D.",Los Angeles (Calif.),"Los Angeles Daily News Negatives. Department of Special Collections, Charles E. Young Research Library, University of California at Los Angeles.",Los Angeles Daily News,US,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,Y,"University of California, Los Angeles. Library. Department of Special Collections",,1937/1947,uclamss_1387_b58_28443-1,Mexican American female gang,"Photographed left to right are: Frances Silva, Josephine Gonzales, Juanita Gonzales, Lorena Encina, and D. Barrios.",ca. 1942,,,,,,,,,,clusc_1_1_00010460a.jpg,clusc_1_1_00010460a.tif,failed,
Los Angeles Daily News Negatives,ark:/13030/hb058002j1,ark:/21198/zz00294nz8,Work,src/test/resources/images/test.tif,,Tenement houses--California--Los Angeles|~|Poor--California--Los Angeles|~|Slums--California--Los Angeles|~|Dwellings--Social aspects|~|Poverty--California--Los Angeles|~|Depressions--1929--California--Los Angeles|~|Economy,still image,copyrighted,news photographs,,Los Angeles (Calif.),"Los Angeles Daily News Negatives. Department of Special Collections, Charles E. Young Research Library, University of California at Los Angeles.",Los Angeles Daily News,US,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,Y,"University of California, Los Angeles. Library. Department of Special Collections",,1938,uclamss_1387_b12_19164-6,Los Angeles slums in the Great Depression,"A child plays in the backyard alley of her home at 477 Temple Street, as the buildings of downtown Los Angeles loom in the background.",1938,,,,,,,,,,clusc_1_1_00011647a.jpg,clusc_1_1_00011647a.tif,,
Los Angeles Daily News Negatives,ark:/13030/hb058002kj,ark:/21198/zz00294nz8,Work,src/test/resources/images/test.tif,,"Japanese--United States|~|Immigrants $z California $z Los Angeles|~|Aliens--California--Los Angeles|~|Japanese Americans--Evacuation and relocation, 1942-1945|~|Government|~|Legal",still image,copyrighted,news photographs,United States. Alien Registration Division,Los Angeles (Calif.),"Los Angeles Daily News Negatives. Department of Special Collections, Charles E. Young Research Library, University of California at Los Angeles.",Los Angeles Daily News,US,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,Y,,,1940,uclamss_1387_b35_24166-52,"Japanese immigrants register as Los Angeles residents, Los Angeles, 1940",Japanese immigrants and aliens register as Los Angeles residents under the Alien Registration Act of 1940. Interior view of the United States Post Office at 660 E. 22nd Street in downtown Los Angeles.,1940,,,,,,,,,,clusc_1_1_00011650a.jpg,clusc_1_1_00011650a.tif,failed,
Los Angeles Daily News Negatives,ark:/13030/hb0779n6bd,ark:/21198/zz00294nz8,Work,src/test/resources/images/test.tif,,"Japanese--United States|~|World War, 1939-1945|~|Lifestyle|~|Environment",still image,copyrighted,news photographs,,Terminal Island (Calif.),"Los Angeles Daily News Negatives. Department of Special Collections, Charles E. Young Research Library, University of California at Los Angeles.",Los Angeles Daily News,US,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,Y,"University of California, Los Angeles. Library. Department of Special Collections",,1941-12-08,uclamss_1387_b51_27022-7,"Street scene on Terminal Island (Calif.) on December 8, 1941","Main Street, Terminal Island (East San Pedro) is empty in preparation for a curfew and blackout on December 8, 1941, the day that the United States declared war on Japan.","December 8, 1941",,,,,,,,,,clusc_1_1_00010441a.jpg,clusc_1_1_00010441a.tif,,
Los Angeles Daily News Negatives,ark:/13030/hb0779n6cx,ark:/21198/zz00294nz8,Work,src/test/resources/images/fail.tif,,"Japanese--United States|~|World War, 1939-1945--Evacuation of civilians--California|~|Japanese Americans--Evacuation and relocation, 1942-1945|~|Government|~|Legal|~|War|~|Culture",still image,copyrighted,news photographs,United States. Federal Bureau of Investigation,Los Angeles (Calif.),"Los Angeles Daily News Negatives. Department of Special Collections, Charles E. Young Research Library, University of California at Los Angeles.",Los Angeles Daily News,US,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,Y,,,1942,uclamss_1387_b51_27067-3,Japanese women board bus for evacuation and relocation,Japanese nationals board a bus during an evacuation and relocation from Los Angeles in 1942.,1942,,,,,,,,,,clusc_1_1_00010454a.jpg,clusc_1_1_00010454a.tif,,
Los Angeles Daily News Negatives,ark:/13030/hb08700381,ark:/21198/zz00294nz8,Work,src/test/resources/images/test.tif,,"World War, 1939-1945--Japanese Americans|~|Japanese--United States|~|World War, 1939-1945--Evacuation of civilians--California|~|Japanese Americans--Evacuation and relocation, 1942-1945|~|Government|~|Legal|~|War",still image,copyrighted,news photographs,,Los Angeles (Calif.),"Los Angeles Daily News Negatives. Department of Special Collections, Charles E. Young Research Library, University of California at Los Angeles.",Los Angeles Daily News,US,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,Y,"University of California, Los Angeles. Library. Department of Special Collections",,1942,uclamss_1387_b51_27067-5,Japanese nationals on a bus during evacuation and relocation,Japanese nationals on board a bus during an evacuation and relocation from Los Angeles,1942,,,,,,,,,,clusc_1_1_00025607a.jpg,clusc_1_1_00025607a.tif,,
Los Angeles Daily News Negatives,ark:/13030/hb08700381,ark:/21198/zz00294nz8,Work,,,"World War, 1939-1945--Japanese Americans|~|Japanese--United States|~|World War, 1939-1945--Evacuation of civilians--California|~|Japanese Americans--Evacuation and relocation, 1942-1945|~|Government|~|Legal|~|War",still image,copyrighted,news photographs,,Los Angeles (Calif.),"Los Angeles Daily News Negatives. Department of Special Collections, Charles E. Young Research Library, University of California at Los Angeles.",Los Angeles Daily News,US,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,Y,"University of California, Los Angeles. Library. Department of Special Collections",,1942,uclamss_1387_b51_27067-5,Japanese nationals on a bus during evacuation and relocation,Japanese nationals on board a bus during an evacuation and relocation from Los Angeles,1942,,,,,,,,,,clusc_1_1_00025607a.jpg,clusc_1_1_00025607a.tif,,
